Timestamp,Column 2,Full name,Please enter the date today,"Share a win from the last week (what went well, something you enjoyed)",Share a loss (something that was challenging or did not go well),"Share a blocker, if any (anything that stopped you from doing what you needed to do)",Anything else you would like to share or ask
7/9/2025 14:34:49,,Student 1,7/9/2025,"Completing my first week with Umuzi gave me confidence and a sense of purpose. I especially enjoyed the design thinking and Odyssey Plan exercises, which helped me plan and commit more effectively.","I didn’t get opportunities from two companies that interviewed me last month, which was discouraging. However, I learned from the experience and was grateful for the chance to engage with the associates managers.",Being financially unstable has been draining my energy and focus some days. But seeing my family support me through this keeps me going and reminds me to stay grateful.,I appreciate Umuzi for this opportunity to showcase my skills and experience and I’m committed to participating to the best of my ability and achieving my goals.
7/9/2025 14:43:15,,Student 2,7/9/2025,"I enjoyed introspecting myself on the basis of building those prototypes and 5 lives, as much as they were not real they ignited me to think of my purpose and see how I can blend it with my formal education and skills to better myself and community as whole. Lastly, I have completed my diploma in Law and awaiting an acceptance into LLB degree. ","Except for being sick and experiencing challenges with reception, I have nothing negative. ","None, only temporary set backs (reception and etc) ",Nothing for now.
7/9/2025 14:49:40,,Student 3,7/9/2025,Submitting all my work in time and completing my Courses,I don’t have any,"Data , I couldn’t join some meetings because I was out of data ",No thank you
7/9/2025 14:50:41,,Student 4,7/9/2025,I submitted most of the assigned assignments,I did not understand some assignments s well and it felt like a lot of work to have to attend classes the whole day and honour deadlines.I felt overwhelmed at some point also with catching up with the number of emails that we were recieving.,Spending most time in class leading to having little time to understand and execute the required work.Also experienced issues with my network when I joined meeting with my laptop which made it difficult to share my work in class.,"In overall, I am doing well and trying to do as much work as possible when I can."
7/9/2025 15:14:46,,Student 5,7/9/2025,I enjoyed the Life Lifeline activity. I got to dig deep and ask myself difficult questions and be honest with myself.,N/A,"I forgot to login to Google classroom, until I received an email from Natalie. ",No.
7/9/2025 16:02:20,,Student 6,7/9/2025,I enjoyed and learnt from the design your life module. I was able to think deep on what I want career wise and had the opportunity to think much on how I can go about it. I even enjoyed the test kitchen exercise because it has brought me an insight on where I can start of from now on. And I also I can say I'm slowly gaining confidence in public speaking.,,I ran out of data which made me miss some sessions,I am hoping that by the end of this programme I would have gained communication and public speaking skills. Because everytime when I have to speak in a large audience I get nervous.
7/9/2025 16:19:53,,Student 7,7/9/2025,"What went well was hearing other candidates plan for their 10 years Odyssey,  I enjoyed it because it was inspiring a lot.",I would say I struggled a bit or was confused when we were doing the one with the symbol. I was supposed to use Google slide instead of pdf document.,I would say not reading instructions sometimes was a blocker because I had to go back and fix mistakes.,None
7/9/2025 19:50:47,,Student 8,7/8/2025,I enjoyed sharing my symbol and it's meaning.,I submitted 2 of my tasks late last week.,"There is a power failure affecting a few houses in my neighbourhood. Unfortunately, this has been ongoing for the past two weeks and is only expected to be resolved next week. I'm really sad to be missing the online sessions during this time, but I’m doing my best to stay updated and catch up where I can. ",
7/9/2025 21:48:18,,Student 9,7/9/2025,"It was a good week, I learnt a lot about myself, the DYL segment was very eye-opening for me, I really enjoyed the activities we did.",N/A,"Nothing hectic, just network issues. ",N/A
7/10/2025 0:42:57,,Student 10,7/10/2025,"Although I couldn't submit on time, the tasks were really enjoyable and taught me lots of new things such as the odyssey plan which I was hearing about for the first time",I was not able to submit last week work on time,I didn't have much time on my hands since I was blessed with a baby recently but mom was able to come help and now I am able to participate,No
7/10/2025 0:49:48,,Student 11,9/15/2000,I learnt direction with my life path and that it is okay to not have everything figured out.,"Connectivity and data challenges, along with equipment.",data,"I need a new laptop, but will continue making do with what I have till I can afford one"
